minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Temperature,Humidity
85,excellent,2.49728,12.82,10.3,3.59,13.79,36.04,32.42,23.66,42.11,12.27,30.9,99.9
86,excellent,2.49728,12.72,10.42,3.54,13.96,35.35,31.54,31.51,40.29,12.27,30.9,99.9
87,excellent,2.49728,12.77,10.42,3.56,13.73,35.81,31.03,24.96,40.54,12.27,30.9,99.9
88,excellent,2.49728,12.62,10.42,3.56,13.9,36.51,31.03,25.24,40.8,12.13,30.9,99.9
89,excellent,2.49728,12.57,10.34,3.56,13.79,35.81,29.56,24.04,42.11,13.5,30.9,99.9
90,excellent,2.49728,12.57,10.18,3.57,13.79,35.58,29.88,23.04,40.54,13.24,30.9,99.9
91,excellent,2.49728,12.67,10.14,3.52,13.79,34.47,29.1,26.09,41.84,13.13,31,99.9
92,excellent,2.49728,12.62,10.02,3.52,13.84,34.9,29.25,26.84,41.05,12.92,31,99.9
93,excellent,2.49728,12.62,9.9,3.54,13.62,33,29.1,31.12,39.79,12.98,31,99.9
94,excellent,2.49728,12.57,9.86,3.52,13.62,34.68,30.36,26.24,40.04,11.99,31,99.9
95,excellent,2.49728,12.47,9.94,3.5,13.79,34.47,31.89,22.68,40.29,12.03,31,99.9
96,excellent,2.49728,12.47,9.79,3.49,13.62,34.9,28.2,23.66,41.32,12.08,31.1,99.9
97,excellent,2.49728,12.32,9.67,3.54,13.62,35.13,32.24,31.12,38.59,12.13,31.1,99.9
98,excellent,2.49728,12.37,9.67,3.52,13.68,35.13,28.94,24.43,40.8,11.99,31.1,99.9
99,excellent,2.49728,12.42,9.75,3.5,13.51,36.04,29.72,23.91,39.3,12.18,31.1,99.9
100,excellent,2.49728,12.37,9.75,3.5,13.57,34.68,29.56,23.16,38.36,12.08,31.1,99.9
101,excellent,2.49728,12.23,9.75,3.5,13.51,36.04,28.64,26.84,38.59,12.08,31.1,99.9
102,excellent,2.49728,12.18,9.71,3.5,13.51,34.68,28.49,22.33,41.05,11.85,31.2,99.9
103,excellent,2.49728,12.28,9.63,3.49,13.51,33.41,27.62,24.04,39.06,12.72,31.2,99.9
104,excellent,2.49728,12.13,9.71,3.5,13.41,34.25,27.76,26.53,38.83,11.99,31.2,99.9
105,excellent,2.49728,12.23,9.67,3.45,13.57,35.13,27.91,28.6,38.83,12.08,31.2,99.9
106,excellent,2.49728,12.13,9.63,3.45,13.51,34.25,27.76,27.14,38.36,13.13,31.2,99.9
107,excellent,2.49728,12.08,9.6,3.49,13.35,34.47,27.76,27.78,38.59,12.98,31.2,99.9
108,excellent,2.49728,12.13,9.67,3.45,13.41,34.47,28.34,23.91,38.83,11.89,31.3,99.9
109,excellent,2.49728,12.04,9.56,3.47,13.41,33.41,26.66,29.29,40.04,12.92,31.3,99.9
110,excellent,2.49728,12.08,9.52,3.43,13.41,33.41,27.2,29.64,37.9,11.85,31.3,99.9
111,excellent,2.49728,12.04,9.56,3.43,13.3,33.83,27.62,26.53,37.9,11.99,31.3,99.9
112,excellent,2.49728,11.94,9.6,3.45,13.41,33.62,26.79,26.24,38.12,11.85,31.3,99.9
113,excellent,2.49728,11.94,9.79,3.45,13.25,33.83,26.52,22.8,37.9,12.87,31.3,99.9
114,excellent,2.49728,12.04,9.75,3.41,13.25,33.41,26,22.45,37.67,13.13,31.4,99.9
115,excellent,2.49728,12.04,9.75,3.41,13.25,33.62,28.2,30.93,37.44,13.13,31.4,99.9
116,excellent,2.49728,11.89,9.48,3.41,13.35,33.2,27.48,24.3,37.44,12.77,31.4,99.9
117,excellent,2.49728,11.89,9.86,3.43,13.35,32.8,27.48,27.14,37.9,12.92,31.4,99.9
118,excellent,2.49728,11.89,9.79,3.41,13.3,33.83,26.66,24.69,38.83,11.75,31.5,99.9
119,excellent,2.49728,11.89,9.37,3.41,13.19,35.35,26,26.69,37.44,11.8,31.5,99.9
120,excellent,2.49728,11.75,9.3,3.38,13.25,37.98,25.11,21.77,37.9,12.62,31.5,99.9
121,excellent,2.6235,11.89,9.26,3.36,13.19,33.2,25.11,22.45,38.36,11.75,31.5,99.9
122,excellent,2.6235,11.94,9.23,3.38,13.19,33.62,24.99,25.8,37,11.62,31.5,99.9
123,excellent,2.6235,11.85,9.26,3.38,13.19,37.98,24.75,20.91,37.9,11.75,31.5,99.9
124,excellent,2.6235,11.75,9.26,3.38,13.19,32.6,24.39,26.39,37.67,12.87,31.6,99.9
125,excellent,2.6235,11.71,9.26,3.38,13.19,32.01,24.39,24.43,37.44,12.67,31.6,99.9
126,excellent,2.6235,11.75,9.09,3.4,13.09,32.6,24.15,23.41,35.93,12.77,31.6,99.9
127,excellent,2.6235,11.71,9.12,3.36,13.09,32.4,23.58,20.19,35.93,12.47,31.6,99.9
128,excellent,2.6235,11.71,9.12,3.33,13.04,30.89,23.58,20.7,36.78,11.57,31.6,99.9
129,excellent,2.6235,11.66,9.12,3.36,12.98,32.4,24.39,26.24,36.57,11.66,31.6,99.9
130,excellent,2.6235,11.62,9.19,3.33,13.04,34.68,23.47,21.12,36.35,11.75,31.7,99.9
131,excellent,2.6235,11.48,9.16,3.35,13.04,32.4,22.28,27.78,35.72,11.71,31.7,99.9
132,excellent,2.6235,11.53,9.16,3.41,13.04,33,24.04,24.69,36.35,11.57,31.7,99.9
133,excellent,2.6235,11.57,9.09,3.31,12.93,32.01,22.49,22.92,36.14,11.71,31.7,99.9
134,excellent,2.6235,11.39,9.01,3.36,13.04,32.01,22.18,21.22,36.35,12.23,31.7,99.9
135,excellent,2.6235,11.48,8.98,3.31,12.93,31.63,22.39,21.01,36.14,11.62,31.7,99.9
136,excellent,2.6235,11.48,8.98,3.33,12.98,32.4,22.28,26.39,37,12.62,31.7,99.9
137,excellent,2.6235,11.35,9.01,3.33,12.83,31.45,22.7,20.49,35.51,12.57,31.7,99.9
138,excellent,2.6235,11.44,9.09,3.33,12.83,31.63,21.97,26.09,34.71,12.57,31.8,99.9
139,excellent,2.6235,11.39,8.98,3.31,12.93,33.41,22.28,26.99,35.93,12.67,31.8,99.9
140,excellent,2.6235,11.26,9.01,3.35,12.88,32.01,21.67,21.55,35.51,12.62,31.8,99.9
141,excellent,2.6235,11.17,8.94,3.33,12.83,31.63,21.18,21.22,34.91,11.43,31.8,99.9
142,excellent,2.6235,11.17,8.91,3.33,12.93,31.63,21.37,20.7,35.51,12.62,31.8,99.9
143,excellent,2.6235,11.3,9.01,3.31,12.88,35.58,20.7,21.01,35.93,12.47,31.9,99.9
144,excellent,2.6235,11.17,9.16,3.31,12.93,31.26,20.52,25.66,36.14,12.32,31.8,99.9
145,excellent,2.6235,11.13,8.98,3.29,12.83,31.45,20.89,19.8,35.51,11.52,31.9,99.9
146,excellent,2.6235,11.17,9.05,3.29,12.88,31.82,20.33,19.23,34.12,11.62,31.9,99.9
147,excellent,2.6235,11.17,8.94,3.31,12.78,31.07,20.61,19.33,35.11,12.37,31.9,99.9
148,excellent,2.6235,11.13,8.87,3.28,12.88,31.63,19.53,23.28,35.51,12.67,31.9,99.9
149,excellent,2.6235,11.08,8.84,3.31,12.93,31.45,20.06,23.91,39.79,12.37,31.9,99.9
150,excellent,2.6235,11,8.8,3.31,12.78,31.63,20.33,24.3,35.11,11.43,31.9,99.9
151,excellent,2.6235,11.04,8.94,3.35,12.88,32.6,20.24,22.92,35.31,12.62,32,99.9
152,excellent,2.6235,11.04,8.87,3.31,13.04,33.62,20.7,23.16,34.71,11.57,32,99.9
153,excellent,2.6235,11.26,8.67,3.33,12.88,32.8,21.08,21.44,35.93,12.42,31.9,99.9
154,excellent,2.6235,11.13,8.63,3.38,13.04,32.6,20.8,22.92,37.22,12.27,32,99.9
155,excellent,2.6235,11.26,8.7,3.33,12.98,33.2,21.57,21.22,36.57,12.27,32,99.9
156,excellent,2.6235,11.3,8.6,3.33,13.04,33.41,21.18,20,41.32,11.26,32,99.9
157,excellent,2.6235,11.13,8.63,3.35,13.04,33.41,20.99,23.78,36.35,11.52,32,99.9
158,excellent,2.6235,11.13,8.67,3.36,13.09,33.2,20.52,20.6,36.35,12.42,32.1,99.9
159,excellent,2.6235,11.21,8.57,3.33,12.88,33,21.28,19.71,35.51,11.48,32.1,99.9
160,excellent,2.6235,11.13,8.57,3.36,12.98,31.63,19.19,19.71,35.11,12.32,32.1,99.9
161,excellent,2.6235,11.35,8.74,3.35,12.83,33.83,18.77,21.88,34.51,11.52,32.1,99.9
162,excellent,2.6235,11.35,8.6,3.31,12.73,31.45,18.77,20.8,35.51,12.77,32.2,99.9
163,excellent,2.6235,11.21,8.53,3.35,12.88,30.71,18.21,19.14,34.71,11.39,32.2,99.9
164,excellent,2.6235,11.17,8.57,3.33,12.83,30.89,19.02,19.42,33.93,12.32,32.2,99.9
165,excellent,2.6235,11.08,8.5,3.31,12.68,32.6,17.51,21.44,33.93,12.37,32.2,99.9
166,excellent,2.6235,11,8.43,3.31,12.73,30.89,17.29,17.5,33.55,11.48,32.3,99.9
167,excellent,2.6235,11,8.57,3.31,12.73,28.82,16.93,22.22,33.17,12.42,32.3,99.9
168,excellent,2.6235,11,8.53,3.31,12.73,30.18,16.57,17.67,34.51,12.52,32.3,99.9
169,excellent,2.6235,11.08,8.37,3.29,12.63,28.99,16.78,22.22,33.36,12.42,32.3,99.9
170,excellent,2.6235,10.95,8.14,3.31,12.68,30,16.43,22.56,31.74,12.27,32.3,99.9
171,excellent,2.6235,11.08,8.33,3.26,12.58,29.66,16.64,21.22,31.74,12.42,32.3,99.9
172,excellent,2.6235,11.04,8.23,3.24,12.58,29.66,16.02,17.42,31.06,11.3,32.4,99.9
173,excellent,2.6235,11.08,8.23,3.26,12.58,31.82,16.23,20.91,33.36,12.13,32.4,99.9
174,excellent,2.6235,10.95,8.17,3.28,12.68,29.49,16.5,17.42,33.55,11.39,32.4,99.9
175,excellent,2.6235,10.95,8.11,3.28,12.63,28.99,15.83,17.58,33.55,12.23,32.4,99.9
176,excellent,2.6235,10.95,8.14,3.26,12.63,30.89,16.23,21.01,32.81,11.3,32.5,99.9
177,excellent,2.6235,10.95,8.11,3.28,12.63,30.18,15.89,19.42,33.55,12.27,32.5,99.9
178,excellent,2.6235,10.91,8.07,3.24,12.53,28.66,15.76,16.57,33.17,11.26,32.5,99.9
179,excellent,2.6235,10.83,8.11,3.28,12.63,29.83,15.25,17.26,32.63,11.39,32.5,99.9
180,excellent,2.6235,10.91,8.01,3.24,12.48,29.49,14.93,19.71,32.99,12.27,32.5,99.9
181,excellent,2.74352,10.87,7.95,3.24,12.48,29.66,15.5,20.29,32.27,12.13,32.5,99.9
182,excellent,2.74352,10.78,7.95,3.26,12.58,29.83,14.87,18,32.81,12.27,32.5,99.9
183,excellent,2.74352,10.83,7.98,3.24,12.53,29.49,14.75,17.03,32.45,12.13,32.6,99.9
184,excellent,2.74352,10.87,7.92,3.26,12.43,30.89,14.33,15.98,32.45,11.26,32.6,99.9
185,excellent,2.74352,10.83,7.92,3.28,12.53,29.83,14.33,15.91,32.81,12.37,32.6,99.9
186,excellent,2.74352,10.83,7.88,3.28,12.43,29.49,13.82,18.17,32.45,12.18,32.6,99.9
187,excellent,2.74352,10.78,7.92,3.22,12.43,29.15,13.99,16.27,31.74,11.89,32.6,99.9
188,excellent,2.74352,10.74,7.88,3.24,12.38,28.99,13.93,16.2,34.71,11.94,32.6,99.9
189,excellent,2.74352,10.7,7.95,3.24,12.43,28.18,13.6,18.96,32.63,11.3,32.6,99.9
190,excellent,2.74352,10.66,7.85,3.21,12.48,29.15,13.54,15.09,30.73,11.26,32.6,99.9
191,excellent,2.74352,10.74,7.85,3.29,12.38,30.71,13.22,19.23,32.09,12.08,32.6,99.9
192,excellent,2.74352,10.66,7.79,3.22,12.28,29.15,13.54,19.52,31.23,11.26,32.6,99.9
193,excellent,2.74352,10.66,7.85,3.24,12.43,29.15,13.01,15.02,32.45,12.32,32.6,99.9
194,excellent,2.74352,10.62,7.88,3.22,12.48,29.15,13.17,16.42,31.74,11.17,32.7,99.9
195,excellent,2.74352,10.74,7.79,3.22,12.28,29.32,13.01,15.49,31.4,11.12,32.7,99.9
196,excellent,2.74352,10.62,7.73,3.22,12.38,28.82,12.75,15.98,31.23,12.08,32.7,99.9
197,excellent,2.74352,10.7,7.76,3.21,12.38,28.18,12.6,18.87,30.41,11.08,32.7,99.9
198,excellent,2.74352,10.53,7.73,3.31,12.38,28.5,12.4,14.7,30.25,11.89,32.7,99.9
199,excellent,2.74352,10.62,7.85,3.21,12.38,28.34,12.5,16.2,31.23,11.12,32.7,99.9
200,excellent,2.74352,10.62,7.82,3.24,12.28,28.34,12.4,18.08,31.57,12.18,32.8,99.9
201,excellent,2.74352,10.53,7.76,3.21,12.43,28.5,12.3,14.51,30.25,11.04,32.7,99.9
202,excellent,2.74352,10.62,7.76,3.19,12.33,28.18,12.35,16.57,30.9,11.94,32.7,99.9
203,excellent,2.74352,10.66,7.82,3.22,12.28,28.34,12.3,15.7,31.4,12.23,32.7,99.9
204,excellent,2.74352,10.62,7.85,3.22,12.33,28.66,11.92,18.34,33.55,11.04,32.7,99.9
205,excellent,2.74352,10.53,7.73,3.24,12.38,28.82,12.01,15.35,31.06,11.17,32.7,99.9
206,excellent,2.74352,10.53,7.7,3.17,12.23,26.82,12.11,14.32,30.73,11.26,32.8,99.9
207,excellent,2.74352,10.49,7.7,3.24,12.33,28.34,11.69,15.15,30.73,12.23,32.8,99.9
208,excellent,2.74352,10.57,7.79,3.22,12.23,27.87,11.59,17.83,33.36,11.94,32.9,99.9
209,excellent,2.74352,10.45,7.67,3.22,12.28,28.34,11.37,14.76,30.41,11.21,32.8,99.9
210,excellent,2.74352,10.57,7.58,3.19,12.23,27.56,11.32,13.78,30.73,12.03,32.8,99.9
211,excellent,2.74352,10.45,7.67,3.24,12.28,28.03,11.15,15.29,30.57,12.08,32.8,99.9
212,excellent,2.74352,10.53,7.58,3.19,12.23,27.56,10.97,14.38,30.09,11.94,32.9,99.9
213,excellent,2.74352,10.53,7.64,3.22,12.19,28.34,10.89,17.42,29,11.94,32.9,99.9
214,excellent,2.74352,10.53,7.46,3.17,12.19,27.56,10.84,14.38,30.09,11.04,32.9,99.9
215,excellent,2.74352,10.41,7.61,3.19,12.28,27.72,10.84,15.42,30.57,10.95,32.9,99.9
216,excellent,2.74352,10.41,7.4,3.19,12.28,27.87,10.8,14.89,30.25,11.12,32.9,99.9
217,excellent,2.74352,10.45,7.46,3.19,12.23,25.96,10.84,13.78,29.93,11.75,32.9,99.9
218,excellent,2.74352,10.53,7.43,3.24,12.14,27.72,10.8,15.84,30.9,11.99,33,99.9
219,excellent,2.74352,10.57,7.46,3.22,12.19,28.34,10.55,14.26,30.57,12.03,32.9,99.9
220,excellent,2.74352,10.53,7.46,3.24,12.19,28.03,10.39,16.34,30.57,11.89,32.9,99.9
221,excellent,2.74352,10.49,7.28,3.22,12.28,28.34,10.59,16.05,30.41,12.03,33,99.9
222,excellent,2.74352,10.45,7.37,3.21,12.23,27.56,10.89,16.12,30.73,11.99,33,99.9
223,excellent,2.74352,10.41,7.55,3.19,12.23,27.72,10.34,14.96,30.25,11.17,33,99.9
224,excellent,2.74352,10.41,7.52,3.21,12.23,28.18,10.18,14.96,30.41,11.17,33,99.9
225,excellent,2.74352,10.53,7.37,3.17,12.14,27.87,10.14,13.72,29.77,11.08,33.1,99.9
226,excellent,2.74352,10.53,7.46,3.22,12.28,27.72,9.91,14.2,29.61,11.94,33.1,99.9
227,excellent,2.74352,10.37,7.31,3.22,12.23,28.18,10.06,14.7,29.93,10.95,33.1,99.9
228,excellent,2.74352,10.53,7.43,3.22,12.23,28.03,10.1,13.9,30.73,11.94,33.1,99.9
229,excellent,2.74352,10.49,7.43,3.21,12.14,28.34,10.03,13.49,31.06,11.75,33.1,99.9
230,excellent,2.74352,10.62,7.34,3.22,12.33,28.99,10.18,15.15,30.73,12.03,33.1,99.9
231,excellent,2.74352,10.62,7.31,3.22,12.28,29.32,10.47,15.56,31.23,11.89,33.1,99.9
232,excellent,2.74352,10.57,7.43,3.22,12.38,28.18,10.39,13.9,30.9,10.99,33.1,99.9
233,excellent,2.74352,10.62,7.34,3.28,12.43,28.18,10.14,14.63,30.25,12.13,33.1,99.9
234,excellent,2.74352,10.57,7.28,3.26,12.33,28.5,9.95,14.83,30.73,12.13,33.2,99.9
235,excellent,2.74352,10.49,7.34,3.33,12.23,28.5,9.87,16.2,29.93,12.03,33.2,99.9
236,excellent,2.74352,10.57,7.25,3.21,12.19,28.34,9.83,13.66,30.73,10.99,33.3,99.9
237,excellent,2.74352,10.57,7.28,3.22,12.19,28.03,9.75,14.57,30.25,11.04,33.3,99.9
238,excellent,2.74352,10.45,7.28,3.24,12.19,27.41,9.6,12.66,28.55,12.08,33.3,99.9
239,excellent,2.74352,10.45,7.31,3.21,12.14,26.82,9.49,13.15,29.77,11.89,33.3,99.9
240,excellent,2.74352,10.45,7.19,3.21,12.14,27.72,9.42,14.32,30.09,11.99,33.3,99.9
241,excellent,2.85746,10.41,7.25,3.22,12.19,27.26,9.34,14.2,29.77,11.99,33.3,99.9
242,excellent,2.85746,10.49,7.25,3.22,12.23,27.56,9.27,12.4,27.97,11.12,33.3,99.9
243,excellent,2.85746,10.45,7.25,3.21,12.14,27.11,9.24,13.49,29.93,10.95,33.3,99.9
244,excellent,2.85746,10.41,7.25,3.22,12.14,28.99,9.24,13.66,29.77,10.99,33.3,99.9
245,excellent,2.85746,10.45,7.11,3.19,12.14,27.41,9.06,12.77,29.61,12.08,33.3,99.9
246,excellent,2.85746,10.41,7.11,3.19,12.14,26.96,8.95,15.02,29.77,11.8,33.4,99.9
247,excellent,2.85746,10.49,6.94,3.22,12.04,27.41,8.81,15.49,29.3,12.08,33.3,99.9
248,excellent,2.85746,10.37,6.91,3.22,12.19,26.39,8.81,15.09,29.3,12.03,33.3,99.9
249,excellent,2.85746,10.33,6.8,3.21,12.19,26.82,8.71,12.51,29.3,12.03,33.3,99.9
250,excellent,2.85746,10.37,6.83,3.21,12.14,26.96,8.57,11.85,28.85,10.91,33.4,99.9
251,excellent,2.85746,10.37,6.83,3.19,12.09,26.96,8.71,13.78,29.46,10.95,33.4,99.9
252,excellent,2.85746,10.37,6.8,3.22,12.04,27.72,8.54,14.44,29.3,11.99,33.4,99.9
253,excellent,2.85746,10.45,6.77,3.19,12.09,26.67,8.61,12.35,31.74,11.99,33.4,99.9
