minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Humidity,Temperature
66,excellent,2.649967492,23.39,32.49,25.82,14.36,40.96,6.65,2.22,29.61,14.64,56.5,33.5
67,excellent,2.649967492,22.96,31.8,25.69,14.3,40.11,6.46,2.22,29.3,14.7,56.5,33.8
68,excellent,2.649967492,22.54,31.29,25.69,14.13,39.29,6.36,2.21,29.3,14.46,56.5,33.8
69,excellent,2.649967492,22.24,30.8,24.96,13.96,36.99,6.16,2.17,28.12,14.11,56.5,33.8
70,excellent,2.649967492,21.93,30,24.72,13.9,36.27,6.11,2.18,28.26,14.23,56.5,33.9
71,excellent,2.649967492,20.6,28.63,23.69,13.35,33.2,5.67,2.12,26.2,13.61,56.5,33.8
72,excellent,2.649967492,20.42,27.92,23.47,13.3,32.6,5.48,2.11,25.95,13.4,56.5,33.7
73,excellent,2.649967492,20.24,27.78,23.47,13.35,32.4,5.43,2.13,26.07,13.45,56.5,33.7
74,excellent,2.649967492,19.45,26.82,22.83,12.98,30.35,5.28,2.11,25.07,13.34,56.5,33.6
75,excellent,2.649967492,18.87,25.79,22.2,12.78,28.82,4.97,2.08,24.36,12.62,56.5,33.6
76,excellent,2.649967492,18.87,25.54,21.9,12.78,28.82,5.08,2.13,24.48,12.67,56.5,33.6
77,excellent,2.649967492,21.64,29.08,24.14,14.13,36.99,5.84,2.31,28.7,14.06,56.5,33.7
78,excellent,2.649967492,18.47,26.82,23.04,13.09,30.53,5.1,2.06,24.83,13.03,56.5,33.7
79,excellent,2.649967492,20.97,29.08,24.03,13.9,35.13,5.74,2.23,27.69,14.11,56.5,33.7
80,excellent,2.649967492,22.03,30.31,24.72,14.36,39.56,6.08,2.28,29.3,14.17,56.5,33.7
81,excellent,2.649967492,22.24,31.12,25.32,14.42,40.11,6.11,2.27,29.46,14.4,56.5,33.8
82,excellent,2.649967492,22.34,31.63,25.32,14.47,40.96,6.13,2.26,29.61,14.7,56.5,33.7
83,excellent,2.649967492,22.54,32.32,25.82,14.53,41.25,6.13,2.26,29.93,15.06,56.5,33.8
84,excellent,2.649967492,22.54,32.67,26.2,14.59,41.54,6.06,2.26,29.93,15.06,56.5,33.8
85,excellent,2.649967492,22.65,32.85,26.46,14.59,41.54,6.41,2.26,30.09,14.64,56.5,33.8
86,excellent,2.649967492,22.65,33.03,26.59,14.59,41.83,6.46,2.26,30.09,14.46,56.5,33.8
87,excellent,2.649967492,22.65,33.4,26.72,14.59,42.13,6.46,2.26,30.25,14.46,56.5,33.9
88,excellent,2.649967492,22.75,33.4,26.85,14.59,42.13,6.49,2.24,30.25,14.94,56.5,33.8
89,excellent,2.649967492,22.75,33.58,26.98,14.59,42.44,6.46,2.24,30.25,14.46,56.5,33.8
90,excellent,2.649967492,22.75,33.58,26.98,14.59,42.13,6.18,2.24,30.25,14.64,56.5,33.8
91,excellent,2.649967492,22.75,33.77,26.98,14.59,42.44,6.11,2.23,30.41,14.64,56.5,33.8
92,excellent,2.649967492,22.75,33.77,26.85,14.59,42.44,6.23,2.23,30.25,14.76,56.5,33.8
93,excellent,2.649967492,22.75,33.96,26.85,14.59,42.13,6.31,2.23,30.25,14.88,56.5,33.7
94,excellent,2.649967492,22.75,33.96,26.85,14.59,42.44,6.26,2.23,30.25,14.58,56.5,33.7
95,excellent,2.649967492,22.86,33.96,26.98,14.59,42.44,6.23,2.23,30.41,14.58,56.5,33.7
96,excellent,2.649967492,22.86,34.15,26.98,14.59,42.74,6.16,2.23,30.41,14.4,56.5,33.7
97,excellent,2.649967492,22.65,33.96,26.85,14.59,42.44,6.13,2.22,30.25,14.52,56.5,33.7
98,excellent,2.649967492,22.65,33.96,26.46,14.59,42.44,6.08,2.23,30.41,14.58,56.5,33.7
99,excellent,2.649967492,22.65,33.77,26.85,14.53,42.13,6.18,2.23,30.41,14.52,56.5,33.7
100,excellent,2.649967492,22.54,33.77,26.72,14.53,42.13,6.08,2.22,30.25,14.46,56.5,33.7
101,excellent,2.649967492,22.44,33.58,26.72,14.53,41.54,6.11,2.22,30.25,14.58,56.5,33.7
102,excellent,2.649967492,22.24,33.21,26.46,14.42,41.25,6.28,2.22,29.93,14.29,56.5,33.7
103,excellent,2.649967492,22.14,33.03,26.33,14.36,40.67,6.21,2.21,29.77,14.23,56.5,33.7
104,excellent,2.649967492,22.03,33.03,26.46,14.36,40.39,6.16,2.21,29.61,14.29,56.5,33.7
105,excellent,2.649967492,21.64,32.32,26.07,14.24,39.29,6.13,2.19,29.15,14.11,56.5,33.7
106,excellent,2.649967492,20.24,30.8,26.07,13.68,33.41,5.39,2.12,27.41,13.56,56.5,33.8
107,excellent,2.649967492,20.51,30,24.96,13.84,35.58,5.86,2.19,27.83,13.72,56.5,33.8
108,excellent,2.649967492,20.15,29.53,24.72,13.62,34.47,5.69,2.16,27.27,13.56,56.5,33.8
109,excellent,2.649967492,20.06,29.08,24.37,13.68,34.25,5.69,2.18,28.41,13.56,56.5,33.8
110,excellent,2.649967492,21.16,30.63,25.44,14.24,38.5,6.08,2.26,29.15,14.23,56.5,33.8
111,excellent,2.649967492,21.35,31.29,25.82,14.3,39.83,6.26,2.23,29.46,14.17,56.5,33.8
112,excellent,2.649967492,21.54,31.97,26.2,14.36,40.67,6.36,2.24,29.77,14.29,56.5,33.8
113,excellent,2.649967492,21.74,32.49,26.46,14.42,40.96,6.41,2.24,29.93,14.23,56.5,33.9
114,excellent,2.649967492,21.93,32.85,26.72,14.47,41.54,6.28,2.24,30.09,14.23,56.5,33.9
115,excellent,2.649967492,21.93,33.21,26.72,14.47,41.25,6.26,2.24,30.09,14.23,56.5,33.9
116,excellent,2.649967492,22.03,33.4,26.85,14.47,41.54,6.31,2.24,30.09,14.23,56.5,33.9
117,excellent,2.649967492,22.03,33.21,26.98,14.42,41.54,6.31,2.24,30.09,14.29,56.5,33.9
118,excellent,2.649967492,22.14,33.77,27.39,14.59,41.83,6.36,2.24,30.41,14.4,56.5,34.1
119,excellent,2.649967492,22.14,33.96,27.53,14.59,42.44,6.36,2.24,30.57,14.46,56.5,34.1
120,excellent,2.649967492,22.34,34.15,27.53,14.59,42.74,6.36,2.26,30.73,14.4,56.5,34.1
121,excellent,2.78811825,22.24,33.96,27.67,14.53,42.44,6.36,2.26,30.57,14.4,56.5,34.1
122,excellent,2.78811825,22.34,33.77,27.53,14.59,42.74,6.36,2.27,30.57,15,56.5,34.1
123,excellent,2.78811825,22.44,33.96,27.53,14.59,43.05,6.41,2.27,30.73,15,56.5,34.1
124,excellent,2.78811825,22.54,33.96,27.67,14.65,43.05,6.41,2.27,30.73,15.06,56.5,34.1
125,excellent,2.78811825,22.75,34.53,27.95,14.71,44.01,6.52,2.27,31.06,15.18,56.5,34.3
126,excellent,2.78811825,22.75,34.93,28.09,14.71,44.34,6.52,2.27,31.23,15.18,56.5,34.3
127,excellent,2.78811825,22.75,34.93,27.95,14.65,44.01,6.52,2.27,31.06,15.31,56.5,34.3
128,excellent,2.78811825,22.65,34.93,27.95,14.59,44.01,6.46,2.26,31.06,15.12,56.5,34.3
129,excellent,2.78811825,22.65,34.73,28.09,14.59,44.01,6.41,2.26,30.9,15.06,56.5,34.3
130,excellent,2.78811825,19.54,28.49,24.96,13.41,31.82,5.34,2.26,26.2,13.72,56.5,34.5
131,excellent,2.78811825,21.74,31.8,27.12,14.53,39.29,5.96,2.38,29.93,14.88,56.5,34.4
132,excellent,2.78811825,21.64,31.97,27.25,14.47,39.56,5.88,2.37,29.93,14.82,56.5,34.5
133,excellent,2.78811825,21.64,31.8,27.12,14.42,39.56,5.93,2.36,29.77,14.82,56.5,34.4
134,excellent,2.78811825,21.54,31.8,27.12,14.42,39.29,5.93,2.36,29.77,14.76,56.5,34.5
135,excellent,2.78811825,21.64,31.97,27.25,14.47,39.83,5.96,2.36,29.93,14.82,56.5,34.5
136,excellent,2.78811825,21.64,32.14,27.25,14.53,40.11,6.03,2.37,29.93,14.82,56.5,34.4
137,excellent,2.78811825,21.64,32.14,27.39,14.53,40.11,6.06,2.37,29.93,14.82,56.5,34.4
138,excellent,2.78811825,21.64,32.14,27.25,14.53,39.83,5.96,2.37,30.09,14.76,56.5,34.4
139,excellent,2.78811825,21.74,32.49,27.39,14.59,40.39,5.98,2.37,30.09,14.82,56.5,34.4
140,excellent,2.78811825,21.74,32.32,27.39,14.59,40.39,5.93,2.37,30.09,14.94,56.5,34.4
141,excellent,2.78811825,21.64,32.32,27.39,14.59,40.39,5.93,2.37,30.09,14.94,56.5,34.5
142,excellent,2.78811825,21.64,32.32,27.53,14.59,40.39,5.88,2.36,30.09,14.88,56.5,34.5
143,excellent,2.78811825,21.64,32.32,27.53,14.59,40.39,5.88,2.36,29.93,14.88,56.5,34.5
144,excellent,2.78811825,21.64,32.49,27.53,14.59,40.67,5.91,2.36,30.25,14.82,56.5,34.5
145,excellent,2.78811825,21.64,32.49,27.67,14.65,40.96,5.88,2.37,30.25,14.88,56.5,34.5
146,excellent,2.78811825,21.74,32.67,27.81,14.65,41.25,5.84,2.37,30.41,14.94,56.5,34.5
147,excellent,2.78811825,21.74,32.85,27.81,14.65,41.25,5.86,2.36,30.41,14.94,56.5,34.5
148,excellent,2.78811825,21.74,33.03,27.95,14.65,41.25,5.88,2.37,30.41,14.94,56.5,34.5
149,excellent,2.78811825,21.74,33.21,27.95,14.71,41.25,5.86,2.37,30.57,14.94,56.5,34.5
150,excellent,2.78811825,21.84,33.4,28.09,14.71,41.83,5.74,2.37,30.57,14.94,56.5,34.5
151,excellent,2.78811825,21.93,33.58,28.09,14.77,41.83,5.91,2.37,30.57,15,56.5,34.5
152,excellent,2.78811825,21.93,33.58,28.23,14.77,42.13,5.93,2.38,30.73,15,56.5,34.5
153,excellent,2.78811825,21.93,33.77,28.23,14.71,41.83,5.64,2.38,30.73,15,56.5,34.5
154,excellent,2.78811825,21.93,33.77,28.23,14.71,41.83,5.86,2.38,30.57,15.12,56.5,34.5
155,excellent,2.78811825,21.93,33.77,28.23,14.71,41.83,5.81,2.37,30.57,14.94,56.5,34.5
156,excellent,2.78811825,21.93,33.58,28.23,14.71,41.83,5.67,2.38,30.73,15.12,56.5,34.5
157,excellent,2.78811825,21.93,33.77,28.37,14.77,42.13,5.71,2.38,30.9,14.76,56.5,34.5
158,excellent,2.78811825,21.93,33.77,28.37,14.77,42.13,5.71,2.38,30.73,14.58,56.6,34.5
159,excellent,2.78811825,22.03,33.96,28.37,14.77,42.13,5.74,2.38,30.9,14.58,56.6,34.5
160,excellent,2.78811825,22.03,33.77,28.37,14.77,42.13,5.76,2.4,30.9,15.18,56.6,34.5
161,excellent,2.78811825,22.03,33.96,28.52,14.83,42.13,5.76,2.41,30.9,15.18,56.6,34.5
162,excellent,2.78811825,22.14,33.96,28.52,14.83,42.13,5.79,2.41,30.9,15.18,56.6,34.5
163,excellent,2.78811825,22.03,34.15,28.66,14.83,42.13,5.86,2.38,30.9,15.25,56.6,34.5
164,excellent,2.78811825,22.14,34.15,28.66,14.83,42.13,5.91,2.41,30.9,14.7,56.6,34.5
165,excellent,2.78811825,22.14,34.15,28.81,14.83,42.44,5.84,2.41,31.06,14.82,56.6,34.5
166,excellent,2.78811825,22.14,33.96,28.81,14.83,42.44,5.88,2.42,31.06,14.7,56.6,34.6
167,excellent,2.78811825,22.03,33.96,28.81,14.83,42.44,5.91,2.42,31.06,14.52,56.6,34.6
168,excellent,2.78811825,22.14,33.96,28.81,14.83,42.44,5.88,2.42,31.06,14.64,56.6,34.6
169,excellent,2.78811825,22.14,33.77,28.96,14.83,42.13,5.79,2.44,31.06,14.64,56.6,34.6
170,excellent,2.78811825,22.03,33.77,28.66,14.83,42.13,5.79,2.42,31.06,14.7,56.6,34.6
171,excellent,2.78811825,21.93,33.77,28.66,14.83,42.44,5.86,2.41,30.9,14.82,56.6,34.6
172,excellent,2.78811825,21.93,33.96,28.66,14.77,42.44,5.88,2.41,31.06,14.46,56.6,34.6
173,excellent,2.78811825,22.03,33.96,28.52,14.77,42.44,5.76,2.4,30.9,14.7,56.6,34.6
174,excellent,2.78811825,22.03,33.96,28.52,14.77,42.13,5.88,2.4,30.9,14.7,56.6,34.5
175,excellent,2.78811825,22.03,33.96,28.66,14.77,42.44,5.84,2.4,31.06,14.7,56.6,34.6
176,excellent,2.78811825,22.03,34.15,28.66,14.77,42.44,5.91,2.4,30.9,14.76,56.6,34.6
177,excellent,2.78811825,22.03,33.96,28.66,14.77,42.44,5.88,2.38,30.9,14.76,56.6,34.6
178,excellent,2.78811825,22.03,33.77,28.52,14.71,42.13,5.86,2.38,30.73,14.82,56.6,34.6
179,excellent,2.78811825,25.72,9.75,9.42,25.63,15.27,3.82,5.72,37.22,16.98,56.7,36.4
180,excellent,2.78811825,25.35,9.71,9.35,25.5,15.14,3.85,5.7,37,17.12,57.1,36.5
181,excellent,2.988840424,25.47,9.67,9.35,25.75,15.14,3.85,5.72,36.35,17.05,57.4,36.3
182,excellent,2.988840424,25.35,9.56,9.27,25.63,15.07,3.89,5.74,36.78,16.84,59.7,36.3
183,excellent,2.988840424,25.11,9.34,9.09,25.63,14.88,3.89,5.88,35.93,16.7,58.9,36.3
184,excellent,2.988840424,24.99,9.3,9.02,25.75,14.76,3.84,5.93,35.93,16.84,59.4,36.3
185,excellent,2.988840424,24.63,8.77,8.05,22.86,13.45,3.82,5.86,33.55,15.37,62,35.7
186,excellent,2.988840424,24.99,8.91,8.34,24.77,13.79,3.89,5.86,33.17,15.75,62.7,35.8
187,excellent,2.988840424,25.23,9.05,8.44,24.89,13.74,3.89,5.86,33.36,15.95,63.1,35.6
188,excellent,2.988840424,25.35,9.16,8.54,25.01,13.85,3.95,5.86,33.55,16.08,63.5,35.6
189,excellent,2.988840424,25.23,9.19,8.61,25.25,13.97,3.95,5.86,33.55,16.15,63.7,35.5
190,excellent,2.988840424,25.72,9.3,8.68,25.5,14.03,4,5.95,33.55,16.35,64,35.5
191,excellent,2.988840424,25.6,9.37,8.68,25.25,13.91,4.02,5.98,33.36,16.63,64.3,35.5
192,excellent,2.988840424,25.6,9.34,8.74,25.75,13.97,4.04,6.02,33.74,16.7,64.5,35.5
193,excellent,2.988840424,25.6,9.41,8.71,25.75,13.85,4.04,6.02,33.93,16.91,64,34.8
194,excellent,2.988840424,26.1,9.67,8.95,25.88,14.09,4.23,6.24,34.31,17.34,64.6,35.6
195,excellent,2.988840424,25.47,9.23,8.51,25.13,13.62,3.95,5.88,33.17,16.77,64.6,35.6
196,excellent,2.988840424,25.35,9.12,8.51,25.13,13.68,3.93,5.91,32.63,16.7,64.7,35.6
197,excellent,2.988840424,25.23,9.16,8.51,25.13,13.68,3.95,5.88,32.45,16.63,64.6,35.7
198,excellent,2.988840424,25.11,9.12,8.44,25.01,13.68,3.91,5.86,32.99,15.62,64.6,35.8
199,excellent,2.988840424,25.47,11.49,8.44,25.13,13.68,3.91,5.86,32.45,16.63,64.7,35.8
200,excellent,2.988840424,25.35,9.19,8.44,25.13,13.68,3.95,5.88,32.45,16.56,64.6,35.6
201,excellent,2.988840424,25.11,9.16,8.44,24.89,13.68,3.91,5.84,32.27,16.35,64.6,35.9
202,excellent,2.988840424,25.47,9.16,8.44,25.01,13.62,3.98,5.86,32.09,16.42,64.7,35.9
203,excellent,2.988840424,25.23,9.23,8.41,25.25,13.68,3.93,5.88,32.27,16.42,64.8,35.9
204,excellent,2.988840424,25.23,9.12,8.41,25.01,13.62,3.87,5.88,32.09,16.42,65.3,36
205,excellent,2.988840424,25.11,9.19,8.44,24.89,13.68,4,5.84,32.27,16.49,65.4,36
206,excellent,2.988840424,25.47,9.23,8.41,25.13,13.68,4,5.86,31.92,16.77,65.4,36
207,excellent,2.988840424,25.47,9.23,8.41,24.89,13.62,4,5.88,32.27,16.77,64.8,35.8
208,excellent,2.988840424,25.47,9.19,8.41,24.77,13.45,3.98,5.88,32.09,16.63,65.3,36.1
209,excellent,2.988840424,25.23,9.3,8.41,25.01,13.57,4.04,5.88,32.09,16.84,65.4,36.1
210,excellent,2.988840424,25.23,9.23,8.41,25.01,13.51,4.06,5.88,31.92,16.84,65.6,36.1
211,excellent,2.988840424,25.11,9.16,8.41,25.01,13.45,4.06,5.91,31.92,16.63,65.6,36.3
212,excellent,2.988840424,25.35,9.19,8.37,24.65,13.29,4.02,5.91,31.92,16.63,65.7,36.1
213,excellent,2.988840424,25.11,9.19,8.37,24.65,13.29,4.08,5.91,31.92,16.7,65.8,36.2
214,excellent,2.988840424,25.47,9.19,8.37,24.77,13.29,3.98,5.93,31.74,16.7,66.4,37
215,excellent,2.988840424,25.47,9.26,8.37,24.77,13.29,4.1,5.95,31.92,16.84,65.8,36.2
216,excellent,2.988840424,25.35,9.3,8.41,24.77,13.23,4.08,5.98,31.92,16.77,65.9,36.3
217,excellent,2.988840424,25.35,9.3,8.44,25.01,13.23,4.12,5.93,31.92,16.84,65.9,36.2
218,excellent,2.988840424,25.97,9.67,8.74,25.38,13.4,4.33,6.27,32.99,17.34,65.9,36.5
219,excellent,2.988840424,25.72,9.56,8.71,25.38,13.4,4.37,6.29,31.92,17.12,65.9,36.4
220,excellent,2.988840424,24.87,9.12,8.24,24.42,12.96,4.06,5.91,31.23,16.56,66,36.4
221,excellent,2.988840424,24.87,9.09,8.24,24.42,12.96,3.98,5.88,31.23,16.42,66,36.4
222,excellent,2.988840424,24.99,9.05,8.21,24.3,12.91,3.95,5.91,31.4,16.42,66,36.4
223,excellent,2.988840424,24.99,9.05,8.21,24.53,13.02,4.02,5.88,30.9,16.49,66,36.5
224,excellent,2.988840424,25.23,9.16,8.18,24.3,12.86,4.04,5.91,31.57,16.49,66.1,36.5
225,excellent,2.988840424,24.99,9.05,8.15,24.18,12.8,4.06,5.88,31.23,16.35,66,36.5
226,excellent,2.988840424,24.87,9.16,8.18,24.18,12.86,4,5.91,31.23,16.28,66.1,36.5
227,excellent,2.988840424,25.11,9.16,8.18,24.3,12.8,3.98,5.88,31.06,16.49,66.1,36.5
228,excellent,2.988840424,25.35,9.05,8.15,24.3,12.86,4.04,5.88,30.73,16.28,66.2,36.5
229,excellent,2.988840424,25.11,9.09,8.11,24.07,12.75,4.04,5.86,30.57,16.28,66.2,36.6
230,excellent,2.988840424,24.87,9.05,8.15,24.18,12.75,4.04,5.86,30.73,16.42,66.3,36.6
231,excellent,2.988840424,24.99,9.12,8.11,24.18,12.7,4.1,5.88,32.99,16.56,66.2,36.6
232,excellent,2.988840424,25.11,9.12,8.11,24.3,12.65,4.12,5.91,30.41,16.77,66.3,36.6
233,excellent,2.988840424,24.75,9.09,8.08,23.84,12.49,4.08,5.93,30.73,16.63,66.4,36.6
234,excellent,2.988840424,24.75,9.05,8.08,23.96,12.44,4.1,5.93,30.41,16.77,66.6,36.6
235,excellent,2.988840424,25.11,9.05,8.08,24.07,12.44,4.08,6,30.9,16.77,66.7,36.6
236,excellent,2.988840424,24.75,9.05,8.05,23.96,12.39,4.08,6.05,30.41,16.91,66.7,36.7
237,excellent,2.988840424,24.75,9.12,8.08,24.18,12.39,4.1,6.02,30.41,16.91,66.8,36.7
238,excellent,2.988840424,24.75,9.05,8.08,23.96,12.34,4.15,6.07,31.74,16.98,66.8,36.7
239,excellent,2.988840424,24.87,9.05,8.05,24.07,12.29,4.1,6.07,30.25,16.98,66.8,36.8
240,excellent,2.988840424,24.87,9.16,8.08,24.07,12.29,4.12,6.12,30.09,17.12,66.8,36.7
241,good,3.243635596,24.75,9.01,8.05,23.96,12.14,4.13,6.12,30.41,16.91,66.8,36.8
242,good,3.243635596,24.87,9.09,8.02,23.84,12.14,4.15,6.14,30.41,16.98,66.9,36.8
243,good,3.243635596,24.99,9.09,8.02,23.84,12.14,4.13,6.17,30.41,16.98,66.8,36.8
244,good,3.243635596,24.87,9.09,8.02,23.73,11.95,4.19,6.22,30.41,17.12,66.9,36.8
245,good,3.243635596,24.87,9.05,8.02,23.84,11.95,4.15,6.24,29.93,17.34,67,36.9
246,good,3.243635596,24.87,9.01,7.99,23.62,11.85,4.17,6.27,30.25,16.98,67,36.9
247,good,3.243635596,24.63,8.98,7.95,23.62,11.8,4.13,6.27,29.93,17.12,67,36.9
248,good,3.243635596,24.63,8.87,7.86,23.4,11.8,4.08,6.17,29.93,16.77,67,36.9
249,good,3.243635596,24.52,8.87,7.89,23.62,11.85,4.08,6.17,29.77,16.77,67,36.9
